alert_id,timestamp,route_id,trip_id,risk_level,risk_score,alert_title,summary,key_findings,evidence,affected_route,affected_trip,affected_segment,estimated_revenue_impact_inr,confidence,recommended_action,dominant_explanation_type,status,version
ALT-A71D59DEB2FF,2026-08-31T04:21:56.074717+00:00,1324,10034,NORMAL,0.294,Nominal Operating Status — Route 1324,Trip 10034 operates within nominal baseline parameters (risk score 0.29).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹660.00 (Deficit: ₹133.65, 16.8%)', 'Expected Passengers: 77 | Reported Passengers: 66 (Difference: 11, 14.4%)', 'Multi-factor Risk Score: 0.2940 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9675']","{'expected_passengers': 77.1, 'reported_passengers': 66.0, 'passenger_difference': 11.1, 'passenger_pct_difference': 14.41, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 660.0, 'revenue_difference_inr': 133.65, 'revenue_pct_difference': 16.84, 'anomaly_score': 0.9675, 'risk_score': 0.294, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10034,,133.65,0.9675,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-83D98426786A,2026-08-31T04:21:56.074839+00:00,1324,10035,NORMAL,0.277,Nominal Operating Status — Route 1324,Trip 10035 operates within nominal baseline parameters (risk score 0.28).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹732.00 (Deficit: ₹61.65, 7.8%)', 'Expected Passengers: 66 | Reported Passengers: 61 (Difference: 5, 7.8%)', 'Multi-factor Risk Score: 0.2770 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9516']","{'expected_passengers': 66.1, 'reported_passengers': 61.0, 'passenger_difference': 5.1, 'passenger_pct_difference': 7.75, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 732.0, 'revenue_difference_inr': 61.65, 'revenue_pct_difference': 7.77, 'anomaly_score': 0.9516, 'risk_score': 0.277, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10035,,61.65,0.9516,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-F460E9271659,2026-08-31T04:21:56.074935+00:00,1324,10036,MONITOR,0.3643,Passenger & Revenue Discrepancy Alert — Route 1324,"Trip 10036 on Route 1324 recorded 52 passengers (expected 69, -25.1%) and ₹584.00 revenue (expected ₹793.65, -26.4%).","['Expected Revenue: ₹793.65 | Reported Revenue: ₹584.00 (Deficit: ₹209.65, 26.4%)', 'Expected Passengers: 69 | Reported Passengers: 52 (Difference: 17, 25.1%)', 'Multi-factor Risk Score: 0.3643 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9609']","{'expected_passengers': 69.4, 'reported_passengers': 52.0, 'passenger_difference': 17.4, 'passenger_pct_difference': 25.1, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 584.0, 'revenue_difference_inr': 209.65, 'revenue_pct_difference': 26.42, 'anomaly_score': 0.9609, 'risk_score': 0.3643, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10036,,209.65,0.9609,Include Route 1324 Trip 10036 in automated telemetry monitoring queue for subsequent schedules.,PASSENGER_UNDERREPORTING,OPEN,1.0.0
ALT-07791012ADA4,2026-08-31T04:21:56.075017+00:00,1324,10037,NORMAL,0.2419,Nominal Operating Status — Route 1324,Trip 10037 operates within nominal baseline parameters (risk score 0.24).,"['Expected Revenue: ₹879.00 | Reported Revenue: ₹879.00 (Deficit: ₹0.00, 0.0%)', 'Expected Passengers: 71 | Reported Passengers: 71 (Difference: 0, 0.0%)', 'Multi-factor Risk Score: 0.2419 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9674']","{'expected_passengers': 71.0, 'reported_passengers': 71.0, 'passenger_difference': 0.0, 'passenger_pct_difference': 0.0, 'expected_revenue_inr': 879.0, 'reported_revenue_inr': 879.0, 'revenue_difference_inr': 0.0, 'revenue_pct_difference': 0.0, 'anomaly_score': 0.9674, 'risk_score': 0.2419, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10037,,0.0,0.9674,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-9255B537B2AD,2026-08-31T04:21:56.075090+00:00,1324,10038,NORMAL,0.2534,Nominal Operating Status — Route 1324,Trip 10038 operates within nominal baseline parameters (risk score 0.25).,"['Expected Revenue: ₹825.00 | Reported Revenue: ₹825.00 (Deficit: ₹0.00, 0.0%)', 'Expected Passengers: 62 | Reported Passengers: 62 (Difference: 0, 0.0%)', 'Multi-factor Risk Score: 0.2534 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9655']","{'expected_passengers': 62.0, 'reported_passengers': 62.0, 'passenger_difference': 0.0, 'passenger_pct_difference': 0.0, 'expected_revenue_inr': 825.0, 'reported_revenue_inr': 825.0, 'revenue_difference_inr': 0.0, 'revenue_pct_difference': 0.0, 'anomaly_score': 0.9655, 'risk_score': 0.2534, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10038,,0.0,0.9655,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-E1E8FCC84A74,2026-08-31T04:21:56.075164+00:00,1324,10039,SUSPICIOUS,0.6342,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 96.9% spatial confidence (estimated impact: ₹548.65).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹245.00 (Deficit: ₹548.65, 69.1%)', 'Expected Passengers: 103 | Reported Passengers: 57 (Difference: 46, 44.4%)', 'Multi-factor Risk Score: 0.6342 (SUSPICIOUS)', 'Statistical Isolation Anomaly Score: 0.9908', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.97)']","{'expected_passengers': 102.6, 'reported_passengers': 57.0, 'passenger_difference': 45.6, 'passenger_pct_difference': 44.45, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 245.0, 'revenue_difference_inr': 548.65, 'revenue_pct_difference': 69.13, 'anomaly_score': 0.9908, 'risk_score': 0.6342, 'localization_confidence': 0.9688, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10039,21172 -> 22645_PF3 (Seq 1-41),548.65,0.9908,Audit trip ticketing logs and conductor waypoint reconciliations for Trip 10039 on Route 1324.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-471CDCA110C7,2026-08-31T04:21:56.075230+00:00,998,1004,MONITOR,0.5516,Localized Segment Discrepancy Alert — Route 998,Graph analysis localized a concentrated revenue and passenger deficit along 20940 -> 21173 (Seq 1-6) with 99.0% spatial confidence (estimated impact: ₹149.01).,"['Expected Revenue: ₹324.01 | Reported Revenue: ₹175.00 (Deficit: ₹149.01, 46.0%)', 'Expected Passengers: 35 | Reported Passengers: 23 (Difference: 12, 35.0%)', 'Multi-factor Risk Score: 0.5516 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9911', 'Graph Discrepancy Localized Subpath: 20940 -> 21173 (Seq 1-6) (Confidence: 0.99)']","{'expected_passengers': 35.4, 'reported_passengers': 23.0, 'passenger_difference': 12.4, 'passenger_pct_difference': 35.0, 'expected_revenue_inr': 324.01, 'reported_revenue_inr': 175.0, 'revenue_difference_inr': 149.01, 'revenue_pct_difference': 45.99, 'anomaly_score': 0.9911, 'risk_score': 0.5516, 'localization_confidence': 0.99, 'localized_subpath': '20940 -> 21173 (Seq 1-6)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",998,1004,20940 -> 21173 (Seq 1-6),149.01,0.9911,Include Route 998 Trip 1004 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-C51916B1FF41,2026-08-31T04:21:56.075291+00:00,1324,10040,NORMAL,0.2418,Nominal Operating Status — Route 1324,Trip 10040 operates within nominal baseline parameters (risk score 0.24).,"['Expected Revenue: ₹855.00 | Reported Revenue: ₹855.00 (Deficit: ₹0.00, 0.0%)', 'Expected Passengers: 71 | Reported Passengers: 71 (Difference: 0, 0.0%)', 'Multi-factor Risk Score: 0.2418 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9671']","{'expected_passengers': 71.0, 'reported_passengers': 71.0, 'passenger_difference': 0.0, 'passenger_pct_difference': 0.0, 'expected_revenue_inr': 855.0, 'reported_revenue_inr': 855.0, 'revenue_difference_inr': 0.0, 'revenue_pct_difference': 0.0, 'anomaly_score': 0.9671, 'risk_score': 0.2418, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10040,,0.0,0.9671,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-DB7577B49358,2026-08-31T04:21:56.075351+00:00,1324,10041,MONITOR,0.3207,Operational Review Alert — Route 1324,Trip 10041 on Route 1324 triggered operational monitoring with composite risk score 0.32.,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹638.00 (Deficit: ₹155.65, 19.6%)', 'Expected Passengers: 72 | Reported Passengers: 59 (Difference: 13, 18.0%)', 'Multi-factor Risk Score: 0.3207 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9556']","{'expected_passengers': 71.9, 'reported_passengers': 59.0, 'passenger_difference': 12.9, 'passenger_pct_difference': 17.99, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 638.0, 'revenue_difference_inr': 155.65, 'revenue_pct_difference': 19.61, 'anomaly_score': 0.9556, 'risk_score': 0.3207, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10041,,155.65,0.9556,Include Route 1324 Trip 10041 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-E67C3E7304E0,2026-08-31T04:21:56.075408+00:00,1324,10042,MONITOR,0.3483,Revenue Deficit Alert — Route 1324,Trip 10042 on Route 1324 reported a revenue deficit of ₹236.90 (-29.8%) relative to expected diurnal baseline.,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹556.75 (Deficit: ₹236.90, 29.8%)', 'Expected Passengers: 82 | Reported Passengers: 62 (Difference: 20, 24.1%)', 'Multi-factor Risk Score: 0.3483 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9754']","{'expected_passengers': 81.7, 'reported_passengers': 62.0, 'passenger_difference': 19.7, 'passenger_pct_difference': 24.11, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 556.75, 'revenue_difference_inr': 236.9, 'revenue_pct_difference': 29.85, 'anomaly_score': 0.9754, 'risk_score': 0.3483, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10042,,236.9,0.9754,Include Route 1324 Trip 10042 in automated telemetry monitoring queue for subsequent schedules.,REVENUE_DISCREPANCY,OPEN,1.0.0
ALT-FF42F573D103,2026-08-31T04:21:56.075469+00:00,1324,10043,NORMAL,0.2864,Nominal Operating Status — Route 1324,Trip 10043 operates within nominal baseline parameters (risk score 0.29).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹708.00 (Deficit: ₹85.65, 10.8%)', 'Expected Passengers: 68 | Reported Passengers: 61 (Difference: 7, 10.5%)', 'Multi-factor Risk Score: 0.2864 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9518']","{'expected_passengers': 68.1, 'reported_passengers': 61.0, 'passenger_difference': 7.1, 'passenger_pct_difference': 10.45, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 708.0, 'revenue_difference_inr': 85.65, 'revenue_pct_difference': 10.79, 'anomaly_score': 0.9518, 'risk_score': 0.2864, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10043,,85.65,0.9518,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-307072761C51,2026-08-31T04:21:56.075526+00:00,1324,10044,NORMAL,0.2509,Nominal Operating Status — Route 1324,Trip 10044 operates within nominal baseline parameters (risk score 0.25).,"['Expected Revenue: ₹800.00 | Reported Revenue: ₹800.00 (Deficit: ₹0.00, 0.0%)', 'Expected Passengers: 62 | Reported Passengers: 62 (Difference: 0, 0.0%)', 'Multi-factor Risk Score: 0.2509 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9554']","{'expected_passengers': 62.0, 'reported_passengers': 62.0, 'passenger_difference': 0.0, 'passenger_pct_difference': 0.0, 'expected_revenue_inr': 800.0, 'reported_revenue_inr': 800.0, 'revenue_difference_inr': 0.0, 'revenue_pct_difference': 0.0, 'anomaly_score': 0.9554, 'risk_score': 0.2509, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10044,,0.0,0.9554,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-DC380869BEA8,2026-08-31T04:21:56.075582+00:00,1324,10045,NORMAL,0.2677,Nominal Operating Status — Route 1324,Trip 10045 operates within nominal baseline parameters (risk score 0.27).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹748.00 (Deficit: ₹45.65, 5.8%)', 'Expected Passengers: 66 | Reported Passengers: 62 (Difference: 4, 5.8%)', 'Multi-factor Risk Score: 0.2677 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9515']","{'expected_passengers': 65.8, 'reported_passengers': 62.0, 'passenger_difference': 3.8, 'passenger_pct_difference': 5.77, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 748.0, 'revenue_difference_inr': 45.65, 'revenue_pct_difference': 5.75, 'anomaly_score': 0.9515, 'risk_score': 0.2677, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10045,,45.65,0.9515,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-E031CBC2B867,2026-08-31T04:21:56.075639+00:00,1324,10046,NORMAL,0.2509,Nominal Operating Status — Route 1324,Trip 10046 operates within nominal baseline parameters (risk score 0.25).,"['Expected Revenue: ₹799.00 | Reported Revenue: ₹799.00 (Deficit: ₹0.00, 0.0%)', 'Expected Passengers: 62 | Reported Passengers: 62 (Difference: 0, 0.0%)', 'Multi-factor Risk Score: 0.2509 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9554']","{'expected_passengers': 62.0, 'reported_passengers': 62.0, 'passenger_difference': 0.0, 'passenger_pct_difference': 0.0, 'expected_revenue_inr': 799.0, 'reported_revenue_inr': 799.0, 'revenue_difference_inr': 0.0, 'revenue_pct_difference': 0.0, 'anomaly_score': 0.9554, 'risk_score': 0.2509, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10046,,0.0,0.9554,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-918C7EC1DD19,2026-08-31T04:21:56.075698+00:00,1324,10047,NORMAL,0.2459,Nominal Operating Status — Route 1324,Trip 10047 operates within nominal baseline parameters (risk score 0.25).,"['Expected Revenue: ₹889.00 | Reported Revenue: ₹889.00 (Deficit: ₹0.00, 0.0%)', 'Expected Passengers: 65 | Reported Passengers: 65 (Difference: 0, 0.0%)', 'Multi-factor Risk Score: 0.2459 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9719']","{'expected_passengers': 65.0, 'reported_passengers': 65.0, 'passenger_difference': 0.0, 'passenger_pct_difference': 0.0, 'expected_revenue_inr': 889.0, 'reported_revenue_inr': 889.0, 'revenue_difference_inr': 0.0, 'revenue_pct_difference': 0.0, 'anomaly_score': 0.9719, 'risk_score': 0.2459, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10047,,0.0,0.9719,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-9F979F80CD5A,2026-08-31T04:21:56.075760+00:00,1324,10048,MONITOR,0.5816,Localized Segment Discrepancy Alert — Route 1324,Graph analysis localized a concentrated revenue and passenger deficit along 21172 -> 22645_PF3 (Seq 1-41) with 91.5% spatial confidence (estimated impact: ₹503.65).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹290.00 (Deficit: ₹503.65, 63.5%)', 'Expected Passengers: 109 | Reported Passengers: 67 (Difference: 42, 38.5%)', 'Multi-factor Risk Score: 0.5816 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9917', 'Graph Discrepancy Localized Subpath: 21172 -> 22645_PF3 (Seq 1-41) (Confidence: 0.92)']","{'expected_passengers': 108.9, 'reported_passengers': 67.0, 'passenger_difference': 41.9, 'passenger_pct_difference': 38.46, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 290.0, 'revenue_difference_inr': 503.65, 'revenue_pct_difference': 63.46, 'anomaly_score': 0.9917, 'risk_score': 0.5816, 'localization_confidence': 0.915, 'localized_subpath': '21172 -> 22645_PF3 (Seq 1-41)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10048,21172 -> 22645_PF3 (Seq 1-41),503.65,0.9917,Include Route 1324 Trip 10048 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-B88B3DB6354A,2026-08-31T04:21:56.075841+00:00,1324,10049,MONITOR,0.3375,Operational Review Alert — Route 1324,Trip 10049 on Route 1324 triggered operational monitoring with composite risk score 0.34.,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹671.00 (Deficit: ₹122.65, 15.5%)', 'Expected Passengers: 60 | Reported Passengers: 50 (Difference: 10, 16.9%)', 'Multi-factor Risk Score: 0.3375 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9648']","{'expected_passengers': 60.2, 'reported_passengers': 50.0, 'passenger_difference': 10.2, 'passenger_pct_difference': 16.94, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 671.0, 'revenue_difference_inr': 122.65, 'revenue_pct_difference': 15.45, 'anomaly_score': 0.9648, 'risk_score': 0.3375, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10049,,122.65,0.9648,Include Route 1324 Trip 10049 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-DD4C6770FBF2,2026-08-31T04:21:56.075912+00:00,998,1005,MONITOR,0.5981,Localized Segment Discrepancy Alert — Route 998,Graph analysis localized a concentrated revenue and passenger deficit along 20940 -> 21173 (Seq 1-6) with 86.9% spatial confidence (estimated impact: ₹199.01).,"['Expected Revenue: ₹324.01 | Reported Revenue: ₹125.00 (Deficit: ₹199.01, 61.4%)', 'Expected Passengers: 37 | Reported Passengers: 20 (Difference: 17, 45.3%)', 'Multi-factor Risk Score: 0.5981 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9911', 'Graph Discrepancy Localized Subpath: 20940 -> 21173 (Seq 1-6) (Confidence: 0.87)']","{'expected_passengers': 36.5, 'reported_passengers': 20.0, 'passenger_difference': 16.5, 'passenger_pct_difference': 45.27, 'expected_revenue_inr': 324.01, 'reported_revenue_inr': 125.0, 'revenue_difference_inr': 199.01, 'revenue_pct_difference': 61.42, 'anomaly_score': 0.9911, 'risk_score': 0.5981, 'localization_confidence': 0.8692, 'localized_subpath': '20940 -> 21173 (Seq 1-6)', 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",998,1005,20940 -> 21173 (Seq 1-6),199.01,0.9911,Include Route 998 Trip 1005 in automated telemetry monitoring queue for subsequent schedules.,SEGMENT_ANOMALY,OPEN,1.0.0
ALT-106E79EB653D,2026-08-31T04:21:56.075977+00:00,1324,10050,MONITOR,0.3359,Operational Review Alert — Route 1324,Trip 10050 on Route 1324 triggered operational monitoring with composite risk score 0.34.,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹645.00 (Deficit: ₹148.65, 18.7%)', 'Expected Passengers: 65 | Reported Passengers: 53 (Difference: 12, 18.9%)', 'Multi-factor Risk Score: 0.3359 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9544']","{'expected_passengers': 65.4, 'reported_passengers': 53.0, 'passenger_difference': 12.4, 'passenger_pct_difference': 18.91, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 645.0, 'revenue_difference_inr': 148.65, 'revenue_pct_difference': 18.73, 'anomaly_score': 0.9544, 'risk_score': 0.3359, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10050,,148.65,0.9544,Include Route 1324 Trip 10050 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-D82FEC6B96D1,2026-08-31T04:21:56.076040+00:00,1324,10051,MONITOR,0.3501,Revenue Deficit Alert — Route 1324,Trip 10051 on Route 1324 reported a revenue deficit of ₹183.65 (-23.1%) relative to expected diurnal baseline.,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹610.00 (Deficit: ₹183.65, 23.1%)', 'Expected Passengers: 68 | Reported Passengers: 53 (Difference: 15, 22.4%)', 'Multi-factor Risk Score: 0.3501 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9567']","{'expected_passengers': 68.3, 'reported_passengers': 53.0, 'passenger_difference': 15.3, 'passenger_pct_difference': 22.36, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 610.0, 'revenue_difference_inr': 183.65, 'revenue_pct_difference': 23.14, 'anomaly_score': 0.9567, 'risk_score': 0.3501, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10051,,183.65,0.9567,Include Route 1324 Trip 10051 in automated telemetry monitoring queue for subsequent schedules.,REVENUE_DISCREPANCY,OPEN,1.0.0
ALT-CFE980FAACC1,2026-08-31T04:21:56.076103+00:00,1324,10052,NORMAL,0.2473,Nominal Operating Status — Route 1324,Trip 10052 operates within nominal baseline parameters (risk score 0.25).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹781.00 (Deficit: ₹12.65, 1.6%)', 'Expected Passengers: 74 | Reported Passengers: 73 (Difference: 1, 1.4%)', 'Multi-factor Risk Score: 0.2473 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9695']","{'expected_passengers': 74.1, 'reported_passengers': 73.0, 'passenger_difference': 1.1, 'passenger_pct_difference': 1.42, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 781.0, 'revenue_difference_inr': 12.65, 'revenue_pct_difference': 1.59, 'anomaly_score': 0.9695, 'risk_score': 0.2473, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10052,,12.65,0.9695,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-896CF345B563,2026-08-31T04:21:56.076160+00:00,1324,10053,NORMAL,0.2614,Nominal Operating Status — Route 1324,Trip 10053 operates within nominal baseline parameters (risk score 0.26).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹772.00 (Deficit: ₹21.65, 2.7%)', 'Expected Passengers: 63 | Reported Passengers: 61 (Difference: 2, 2.9%)', 'Multi-factor Risk Score: 0.2614 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9514']","{'expected_passengers': 62.8, 'reported_passengers': 61.0, 'passenger_difference': 1.8, 'passenger_pct_difference': 2.87, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 772.0, 'revenue_difference_inr': 21.65, 'revenue_pct_difference': 2.73, 'anomaly_score': 0.9514, 'risk_score': 0.2614, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10053,,21.65,0.9514,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-9EA3A8CCED19,2026-08-31T04:21:56.076216+00:00,1324,10054,NORMAL,0.2656,Nominal Operating Status — Route 1324,Trip 10054 operates within nominal baseline parameters (risk score 0.27).,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹771.00 (Deficit: ₹22.65, 2.9%)', 'Expected Passengers: 62 | Reported Passengers: 60 (Difference: 2, 3.0%)', 'Multi-factor Risk Score: 0.2656 (NORMAL)', 'Statistical Isolation Anomaly Score: 0.9547']","{'expected_passengers': 61.9, 'reported_passengers': 60.0, 'passenger_difference': 1.9, 'passenger_pct_difference': 3.04, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 771.0, 'revenue_difference_inr': 22.65, 'revenue_pct_difference': 2.85, 'anomaly_score': 0.9547, 'risk_score': 0.2656, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10054,,22.65,0.9547,No immediate operational audit required. Telemetry within nominal bounds.,NOMINAL,OPEN,1.0.0
ALT-F9DC006B8329,2026-08-31T04:21:56.076273+00:00,1324,10055,MONITOR,0.3231,Operational Review Alert — Route 1324,Trip 10055 on Route 1324 triggered operational monitoring with composite risk score 0.32.,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹653.00 (Deficit: ₹140.65, 17.7%)', 'Expected Passengers: 68 | Reported Passengers: 56 (Difference: 12, 17.3%)', 'Multi-factor Risk Score: 0.3231 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9521']","{'expected_passengers': 67.7, 'reported_passengers': 56.0, 'passenger_difference': 11.7, 'passenger_pct_difference': 17.27, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 653.0, 'revenue_difference_inr': 140.65, 'revenue_pct_difference': 17.72, 'anomaly_score': 0.9521, 'risk_score': 0.3231, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10055,,140.65,0.9521,Include Route 1324 Trip 10055 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
ALT-EA33AF4434DA,2026-08-31T04:21:56.076330+00:00,1324,10056,MONITOR,0.328,Operational Review Alert — Route 1324,Trip 10056 on Route 1324 triggered operational monitoring with composite risk score 0.33.,"['Expected Revenue: ₹793.65 | Reported Revenue: ₹665.00 (Deficit: ₹128.65, 16.2%)', 'Expected Passengers: 64 | Reported Passengers: 53 (Difference: 11, 16.8%)', 'Multi-factor Risk Score: 0.3280 (MONITOR)', 'Statistical Isolation Anomaly Score: 0.9541']","{'expected_passengers': 63.7, 'reported_passengers': 53.0, 'passenger_difference': 10.7, 'passenger_pct_difference': 16.79, 'expected_revenue_inr': 793.65, 'reported_revenue_inr': 665.0, 'revenue_difference_inr': 128.65, 'revenue_pct_difference': 16.21, 'anomaly_score': 0.9541, 'risk_score': 0.328, 'localization_confidence': 0.0, 'localized_subpath': None, 'is_repeated_pattern': False, 'historical_anomaly_rate': 0.0}",1324,10056,,128.65,0.9541,Include Route 1324 Trip 10056 in automated telemetry monitoring queue for subsequent schedules.,COMPOSITE_ANOMALY,OPEN,1.0.0
